AVG AT MAX,MAX DATE,MAX,AVG AT MIN,MIN DATE,MIN,CHANGE
7.2331,1987-08-11,8.9278,7.5469,1987-09-17,7.5409,-15.5339
7.6115,1987-09-28,8.2344,7.4674,1987-12-04,4.1822,-49.2105
6.9005,1988-02-29,6.9342,6.7058,1988-04-15,6.2408,-10.0000
6.3421,1988-06-10,6.8908,6.0915,1988-07-27,5.8074,-15.7233
6.4581,1988-10-21,7.2376,6.5508,1988-11-16,6.4141,-11.3772
6.8137,1989-06-19,8.2344,6.8510,1989-07-03,6.8475,-16.8420
7.2469,1989-11-17,8.5377,7.4207,1989-12-18,7.3676,-13.7056
7.5130,1990-01-05,8.3210,7.2947,1990-05-07,5.7207,-31.2499
7.0811,1990-07-16,7.5409,6.4817,1990-10-11,4.7239,-37.3563
8.3463,1991-08-29,11.094,9.0458,1992-04-28,5.2006,-53.1250
6.3976,1992-11-06,7.5843,6.1167,1992-12-23,6.1107,-19.4285
6.0447,1993-03-05,6.0674,6.0232,1993-04-20,4.9406,-18.5714
5.8856,1993-06-16,6.6741,5.9055,1993-06-22,5.7857,-13.3116
5.8890,1993-12-06,7.2809,5.9972,1994-01-12,5.9807,-17.8571
6.1984,1994-03-03,7.3242,6.2423,1994-06-01,4.5505,-37.8698
5.5551,1994-11-08,5.6340,5.1851,1995-01-11,4.2472,-24.6153
5.0293,1995-07-20,6.4141,5.4628,1995-11-20,5.4607,-14.8648
5.5027,1995-12-04,5.9374,5.5695,1995-12-20,4.9839,-16.0583
6.4383,1996-09-09,7.6709,6.7328,1996-10-30,6.6308,-13.5593
17.263,1998-07-22,22.536,18.212,1998-09-02,15.623,-30.6730
18.434,1998-09-23,18.635,18.520,1998-10-05,15.363,-17.5581
22.776,1999-04-06,32.070,26.348,1999-08-09,24.854,-22.4999
26.715,1999-08-24,28.235,27.090,1999-09-20,22.926,-18.8027
27.315,1999-10-11,29.102,27.396,1999-10-26,24.963,-14.2219
30.615,2000-05-01,40.521,31.213,2000-05-25,20.802,-48.6631
25.772,2001-01-31,32.070,25.293,2001-04-03,23.619,-26.3513
25.408,2001-04-18,26.599,25.460,2001-04-24,23.770,-10.6360
26.284,2001-07-16,30.857,27.062,2001-08-23,26.766,-13.2584
27.102,2001-08-28,27.542,27.103,2001-09-21,21.648,-21.3998
27.912,2002-02-14,32.119,28.285,2002-03-06,26.988,-15.9758
28.243,2002-06-19,28.395,24.981,2002-12-24,18.888,-33.4799
28.128,2004-11-15,34.739,31.095,2005-03-21,30.257,-12.9002
31.261,2005-04-07,32.826,31.412,2005-04-22,28.116,-14.3496
32.266,2005-07-28,32.657,31.741,2005-09-20,29.102,-10.8852
36.025,2006-07-03,40.798,36.754,2006-07-27,36.455,-10.6460
37.051,2006-08-18,37.328,37.095,2006-08-31,33.237,-10.9609
42.631,2007-12-07,51.645,45.280,2008-03-06,43.265,-16.2251
48.328,2008-07-08,53.917,48.757,2008-07-28,43.583,-19.1668
48.842,2008-09-18,49.396,42.402,2009-03-09,28.016,-43.2818
51.532,2011-05-19,62.957,55.766,2011-08-08,53.185,-15.5208
59.552,2011-12-06,66.510,60.573,2012-01-09,59.674,-10.2770
62.236,2012-04-02,69.562,62.941,2012-05-09,62.578,-10.0392
111.15,2015-03-24,132.67,119.24,2015-06-15,119.21,-10.1440
128.02,2015-12-08,147.48,129.29,2016-01-27,129.02,-12.5184
136.30,2016-08-12,148.87,135.52,2016-11-04,125.65,-15.5952
144.38,2017-06-07,168.39,145.37,2017-06-23,145.22,-13.7596
185.92,2018-09-11,228.94,199.79,2018-12-24,178.53,-22.0172
269.82,2020-02-20,308.18,271.80,2020-02-28,267.34,-13.2498
272.57,2020-03-04,305.00,274.35,2020-03-12,266.12,-12.7486
313.47,2020-12-01,380.61,334.74,2021-03-08,306.44,-19.4873
485.30,2022-04-07,602.61,504.77,2022-05-20,413.38,-31.4024
518.94,2022-09-12,536.49,512.23,2022-10-14,452.09,-15.7306
510.04,2022-11-30,537.19,504.37,2023-01-05,448.47,-16.5155
