AVG AT MIN,MIN DATE,MIN,AVG AT MAX,MAX DATE,MAX,CHANGE
7.4674,1987-12-04,4.1822,6.9186,1988-02-17,6.9342,65.80316
6.1155,1988-08-15,5.8940,6.4581,1988-10-21,7.2376,22.79418
6.5372,1989-03-23,6.1107,6.8137,1989-06-19,8.2344,34.75175
6.8510,1989-07-03,6.8475,7.2469,1989-11-17,8.5377,24.68347
7.4207,1989-12-18,7.3676,7.5130,1990-01-05,8.3210,12.94115
7.2947,1990-05-07,5.7207,7.0811,1990-07-16,7.5409,31.81822
6.4817,1990-10-11,4.7239,6.2548,1990-11-12,6.2841,33.02755
6.2433,1990-11-16,6.1107,8.3463,1991-08-29,11.094,81.56021
9.0458,1992-04-28,5.2006,6.3976,1992-11-06,7.5843,45.83348
6.0232,1993-04-20,4.9406,5.8856,1993-06-16,6.6741,35.08770
5.9531,1993-07-22,5.4607,5.8890,1993-12-06,7.2809,33.33329
6.1074,1994-02-14,6.0674,6.1984,1994-03-03,7.3242,20.71436
6.2423,1994-06-01,4.5505,5.6433,1994-10-11,5.7640,26.66664
5.1851,1995-01-11,4.2472,5.0346,1995-04-12,5.2873,24.48980
4.9916,1995-06-09,4.9839,5.0293,1995-07-20,6.4141,28.69559
5.5695,1995-12-20,4.9839,5.6109,1996-01-08,5.6774,13.91299
5.6299,1996-01-19,5.1139,6.4383,1996-09-09,7.6709,50.00000
6.7328,1996-10-30,6.6308,17.263,1998-07-22,22.536,239.8692
18.212,1998-09-02,15.623,18.248,1998-09-08,19.199,22.88488
18.520,1998-10-05,15.363,22.776,1999-04-06,32.070,108.7447
26.348,1999-08-09,24.854,26.534,1999-08-17,27.390,10.20058
27.090,1999-09-20,22.926,27.222,1999-10-05,27.498,19.94328
27.396,1999-10-26,24.963,27.404,1999-10-29,27.845,11.54517
27.418,1999-11-01,27.238,30.615,2000-05-01,40.521,48.76693
31.213,2000-05-25,20.802,25.772,2001-01-31,32.070,54.16671
25.293,2001-04-03,23.619,25.408,2001-04-18,26.599,12.61646
25.460,2001-04-24,23.770,25.579,2001-05-22,26.273,10.53093
25.593,2001-05-29,25.504,26.284,2001-07-16,30.857,20.98965
27.103,2001-09-21,21.648,27.160,2001-10-16,27.168,25.49649
27.131,2001-10-30,26.024,27.912,2002-02-14,32.119,23.42123
28.480,2002-04-02,26.897,28.454,2002-04-16,29.817,10.85327
24.981,2002-12-24,18.888,22.403,2003-09-03,23.063,22.09984
22.413,2003-09-30,21.600,28.128,2004-11-15,34.739,60.82961
31.412,2005-04-22,28.116,31.539,2005-05-20,31.555,12.23126
31.741,2005-09-20,29.102,36.025,2006-07-03,40.798,40.19030
37.095,2006-08-31,33.237,37.140,2006-10-12,38.287,15.19551
37.636,2006-12-22,37.172,37.789,2007-02-20,41.598,11.90739
37.851,2007-03-16,37.815,42.631,2007-12-07,51.645,36.57157
45.280,2008-03-06,43.265,48.328,2008-07-08,53.917,24.61996
48.757,2008-07-28,43.583,48.657,2008-08-12,49.070,12.59022
42.402,2009-03-09,28.016,41.240,2010-04-06,45.617,62.82127
43.431,2010-07-21,39.746,51.532,2011-05-19,62.957,58.39733
56.084,2011-08-18,56.002,59.552,2011-12-06,66.510,18.76258
60.573,2012-01-09,59.674,62.236,2012-04-02,69.562,16.56932
63.157,2012-05-22,63.154,92.517,2013-11-29,103.74,64.26866
96.324,2014-06-30,95.798,111.15,2015-03-24,132.67,38.49190
124.12,2015-09-18,123.53,128.02,2015-12-08,147.48,19.38967
132.45,2016-05-18,124.09,136.30,2016-08-12,148.87,19.96205
135.52,2016-11-04,125.65,144.38,2017-06-07,168.39,34.01732
147.92,2017-08-24,140.31,149.88,2017-10-05,154.90,10.40115
150.33,2017-10-30,148.56,185.92,2018-09-11,228.94,54.10206
199.79,2018-12-24,178.53,203.58,2019-02-19,205.52,15.11614
204.94,2019-03-07,204.27,269.82,2020-02-20,308.18,50.86937
271.80,2020-02-28,267.34,272.57,2020-03-04,305.00,14.08548
276.79,2020-03-27,270.38,278.99,2020-04-16,305.78,13.09393
285.69,2020-06-26,282.65,313.47,2020-12-01,380.61,34.65505
334.74,2021-03-08,306.44,485.30,2022-04-07,602.61,96.65057
504.77,2022-05-20,413.38,509.99,2022-07-22,525.84,27.20504
512.23,2022-10-14,452.09,508.84,2022-10-28,508.92,12.56839
504.37,2023-01-05,448.47,496.35,2023-02-02,522.34,16.47107
